Area,Clave_carrera,Codigo_opcion,Carrera,Plantel,Modalidad,URL_resultados,Estado_extraccion,Filas_extraidas,Seleccionados_extraidos,Duracion_segundos,Error,Concurso,Oferta,Aspirantes,Presentaron_examen,Aciertos_minimos,Seleccionados
1,122,12200035,MATEMATICAS,FACULTAD DE CIENCIAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/12200035.html,Completado,374,120,0.23,,Licenciatura 2026,121,374,298,94,125
1,136,13600035,MATEMATICAS APLICADAS,FACULTAD DE CIENCIAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/13600035.html,Completado,187,41,0.19,,Licenciatura 2026,32,187,150,100,41
1,121,12102005,MATEMATICAS APLICADAS Y COMPUTACION,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/12102005.html,Completado,475,259,0.27,,Licenciatura 2026,260,475,427,59,265
1,140,14010005,MATEMATICAS PARA EL DESARROLLO,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD JURIQUILLA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/14010005.html,Completado,40,30,0.22,,Licenciatura 2026,35,40,32,40,31
1,126,12610005,TECNOLOGIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD JURIQUILLA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/12610005.html,Completado,63,52,0.23,,Licenciatura 2026,35,63,56,45,52
1,132,13207005,TECNOLOGIAS PARA LA INFORMACION EN CIENCIAS,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/13207005.html,Completado,59,43,0.17,,Licenciatura 2026,50,59,48,43,45
1,123,12300015,URBANISMO,FACULTAD DE ARQUITECTURA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/12300015.html,Completado,125,24,0.18,,Licenciatura 2026,25,125,112,99,26
2,201,20100035,BIOLOGIA,FACULTAD DE CIENCIAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20100035.html,Completado,1504,154,0.59,,Licenciatura 2026,130,1504,1249,106,156
2,201,20103005,BIOLOGIA,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20103005.html,Completado,770,119,0.41,,Licenciatura 2026,110,770,674,94,119
2,201,20105005,BIOLOGIA,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20105005.html,Completado,816,118,0.39,,Licenciatura 2026,105,816,691,95,124
2,201,20100015,BIOLOGIA,TLAXCALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20100015.html,Completado,40,24,0.24,,Licenciatura 2026,15,40,35,64,25
2,201,20108005,BIOLOGIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20108005.html,Completado,99,26,0.18,,Licenciatura 2026,25,99,80,78,26
2,218,21801005,BIOQUIMICA DIAGNOSTICA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/21801005.html,Completado,397,28,0.27,,Licenciatura 2026,25,397,342,101,29
2,230,23007005,CIENCIAS AGROFORESTALES,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/23007005.html,Completado,42,30,0.19,,Licenciatura 2026,40,42,35,40,30
2,223,22306005,CIENCIAS AGROGENOMICAS,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/22306005.html,Completado,72,18,0.18,,Licenciatura 2026,17,72,56,80,18
2,216,21607005,CIENCIAS AMBIENTALES,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/21607005.html,Completado,39,29,0.19,,Licenciatura 2026,40,39,29,41,29
2,216,21608005,CIENCIAS AMBIENTALES,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/21608005.html,Completado,37,29,0.2,,Licenciatura 2026,50,37,30,41,29
2,202,20200145,CIRUJANO DENTISTA,FACULTAD DE ODONTOLOGÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20200145.html,Completado,3060,161,0.93,,Licenciatura 2026,115,3060,2590,112,166
2,202,20203005,CIRUJANO DENTISTA,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20203005.html,Completado,2884,179,1.28,,Licenciatura 2026,148,2884,2566,109,186
2,202,20205005,CIRUJANO DENTISTA,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20205005.html,Completado,2648,170,0.99,,Licenciatura 2026,125,2648,2344,109,174
2,225,22503005,ECOLOGIA,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/22503005.html,Completado,117,27,0.57,,Licenciatura 2026,27,117,92,85,27
2,225,22507005,ECOLOGIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/22507005.html,Completado,20,17,0.25,,Licenciatura 2026,40,20,18,52,18
2,225,22508005,ECOLOGIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/22508005.html,Completado,23,20,0.28,,Licenciatura 2026,22,23,21,40,20
2,220,22000095,ENFERMERIA,FACULTAD DE ENFERMERIA Y OBSTETRICIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/22000095.html,Completado,1477,158,0.69,,Licenciatura 2026,160,1477,1235,99,165
2,220,22003005,ENFERMERIA,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/22003005.html,Completado,1857,164,0.88,,Licenciatura 2026,130,1857,1612,102,165
2,220,22005005,ENFERMERIA,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/22005005.html,Completado,2841,169,0.95,,Licenciatura 2026,170,2841,2456,103,174
